GROUP,Image1,Image2,Image3,Image4,CorrectAnswer,Target,G_Target,Condition,Target AOI,Competitor AOI,NovelDistractor,ExistingDistrator,TargetOnset
7,money.bmp,EDhill.bmp,monkey.bmp,ND_106.bmp,3,monkey.wav,7_monkey.wav,DisplayedCohort,3,1,4,2,453
8,baker.bmp,EDhill.bmp,monkey.bmp,ND_106.bmp,3,monkey.wav,8_monkey.wav,AbsentCohort,3,1,4,2,453
1,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,1_ND_balras.wav,novelfiller,,,,,
2,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,2_ND_balras.wav,novelfiller,,,,,
3,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,3_ND_balras.wav,novelfiller,,,,,
4,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,4_ND_balras.wav,novelfiller,,,,,
5,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,5_ND_balras.wav,novelfiller,,,,,
6,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,6_ND_balras.wav,novelfiller,,,,,
7,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,7_ND_balras.wav,novelfiller,,,,,
8,ND_63.bmp,EDcollar.bmp,EDriver.bmp,EDtortoise.bmp,1,ND_balras.wav,8_ND_balras.wav,novelfiller,,,,,
1,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,1_ND_chamgalp.wav,novelfiller,,,,,
2,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,2_ND_chamgalp.wav,novelfiller,,,,,
3,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,3_ND_chamgalp.wav,novelfiller,,,,,
4,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,4_ND_chamgalp.wav,novelfiller,,,,,
5,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,5_ND_chamgalp.wav,novelfiller,,,,,
6,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,6_ND_chamgalp.wav,novelfiller,,,,,
7,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,7_ND_chamgalp.wav,novelfiller,,,,,
8,EDtag.bmp,EDpetal.bmp,EDtoad.bmp,ND_59.bmp,4,ND_chamgalp.wav,8_ND_chamgalp.wav,novelfiller,,,,,
1,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,1_ND_grompa.wav,novelfiller,,,,,
2,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,2_ND_grompa.wav,novelfiller,,,,,
3,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,3_ND_grompa.wav,novelfiller,,,,,
4,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,4_ND_grompa.wav,novelfiller,,,,,
5,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,5_ND_grompa.wav,novelfiller,,,,,
6,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,6_ND_grompa.wav,novelfiller,,,,,
7,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,7_ND_grompa.wav,novelfiller,,,,,
8,ND_49.bmp,EDdiamond.bmp,EDbasket.bmp,EDcandle.bmp,1,ND_grompa.wav,8_ND_grompa.wav,novelfiller,,,,,
1,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,1_ND_hekobi.wav,novelfiller,,,,,
2,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,2_ND_hekobi.wav,novelfiller,,,,,
3,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,3_ND_hekobi.wav,novelfiller,,,,,
4,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,4_ND_hekobi.wav,novelfiller,,,,,
5,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,5_ND_hekobi.wav,novelfiller,,,,,
6,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,6_ND_hekobi.wav,novelfiller,,,,,
7,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,7_ND_hekobi.wav,novelfiller,,,,,
8,EDpresent.bmp,ND_72.bmp,EDsand.bmp,EDpin.bmp,2,ND_hekobi.wav,8_ND_hekobi.wav,novelfiller,,,,,
1,EDrope.bmp,EDcoin.bmp,EDbin.bmp,ND_69.bmp,4,ND_hinshink.wav,1_ND_hinshink.wav,novelfiller,,,,,
2,EDrope.bmp,EDcoin.bmp,EDbin.bmp,ND_69.bmp,4,ND_hinshink.wav,2_ND_hinshink.wav,novelfiller,,,,,
